;grade,item_id,item_amount,item_expiry,item_bind,note_cost,gold_cost,jaden_cost,bonus_item1_id,bonus_item1_num,bonus_item1_exp,bonus_item1_bind,bonus_item2_id,bonus_item2_num,bonus_item2_exp,bonus_item2_bind,bonus_item3_id,bonus_item3_num,bonus_item3_exp,bonus_item3_bind
;gold
0,64953,5,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22460,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22460,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22460,50,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24639,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24639,500,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24639,999,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34820,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10876,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66742,1,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23885,1,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71512,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,71512,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52377,2,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52377,5,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52377,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56040,500,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56040,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56040,9999,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57440,500,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57440,1000,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,57440,3000,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63521,500,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63521,1000,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63521,2000,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0
0,77089,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22343,10000,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66739,500,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66739,1000,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,66739,5000,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7939,1,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19252,50,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19252,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19252,200,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19253,100,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19253,200,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21154,200,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21154,999,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65842,2000,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65842,5000,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,65842,10000,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22459,500,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22459,1000,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22459,5000,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41171,200,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49145,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51199,2,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15709,9999,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
