;配方，原料1，数量，原料2，数量，原料3，数量，产出，手续费/金，耗时/天
;line,item1_id,item1_count,item2_id,item2_count,item3_id,item3_count,item_output,item_output_count,money,duration
1,65977,5000,57440,9999,42402,9999,54908,1,200000,5
2,65977,1500,57440,9999,42402,9999,32286,3,200000,5
11,65977,3000,57440,9999,65982,500,54908,1,200000,15
12,65977,3000,57440,9999,65982,500,65688,1,200000,15
13,65977,1000,57440,1000,65982,500,66739,1000,200000,15
31,65977,500,57440,500,65983,300,32286,1,200000,10
51,65977,200,57440,999,65975,100,63454,1,100000,10
52,65977,100,57440,999,65975,100,40309,1,100000,10
53,65977,100,57440,999,65975,100,40310,1,100000,10
54,65977,300,57440,999,65975,100,13350,10,100000,10
