;配方，原料1，数量，原料2，数量，原料3，数量，产出，手续费/金，耗时/天
;line,item1_id,item1_count,item2_id,item2_count,item3_id,item3_count,item_output,item_output_count,money,duration
1,70901,50,0,0,0,0,70950,1,0,7
2,70901,50,0,0,0,0,70951,1,0,7
3,70901,50,0,0,0,0,70952,1,0,7
4,70901,50,0,0,0,0,70953,1,0,7
5,70901,50,0,0,0,0,70954,1,0,7
6,70901,50,0,0,0,0,70955,1,0,7
7,70901,50,0,0,0,0,70956,1,0,7
8,70901,50,0,0,0,0,70957,1,0,7
9,0,0,0,0,0,0,40309,1,100000,21
10,0,0,0,0,0,0,40310,1,100000,21
11,70899,100,57440,400,0,0,55620,60,20000,14
12,70900,150,57440,600,0,0,71531,1,50000,14
13,70901,120,57440,1000,0,0,49370,4,100000,14
